2026-04-10 11:15:17 | INFO     | twitch_enrich |    game batch 213/234 done
2026-04-10 11:15:59 | INFO     | twitch_enrich |    game batch 214/234 done
2026-04-10 11:16:42 | INFO     | twitch_enrich |    game batch 215/234 done
2026-04-10 11:18:00 | INFO     | twitch_enrich |    game batch 216/234 done
2026-04-10 11:18:44 | INFO     | twitch_enrich |    game batch 217/234 done
2026-04-10 11:19:40 | INFO     | twitch_enrich |    game batch 218/234 done
2026-04-10 11:20:35 | INFO     | twitch_enrich |    game batch 219/234 done
2026-04-10 11:21:39 | INFO     | twitch_enrich |    game batch 220/234 done
2026-04-10 11:22:22 | INFO     | twitch_enrich |    game batch 221/234 done
2026-04-10 11:23:07 | INFO     | twitch_enrich |    game batch 222/234 done
2026-04-10 11:23:52 | INFO     | twitch_enrich |    game batch 223/234 done
2026-04-10 11:24:43 | INFO     | twitch_enrich |    game batch 224/234 done
2026-04-10 11:25:36 | INFO     | twitch_enrich |    game batch 225/234 done
2026-04-10 11:26:59 | INFO     | twitch_enrich |    game batch 226/234 done
2026-04-10 11:27:49 | INFO     | twitch_enrich |    game batch 227/234 done
2026-04-10 11:28:48 | INFO     | twitch_enrich |    game batch 228/234 done
2026-04-10 11:29:37 | INFO     | twitch_enrich |    game batch 229/234 done
2026-04-10 11:30:31 | INFO     | twitch_enrich |    game batch 230/234 done
2026-04-10 11:31:20 | INFO     | twitch_enrich |    game batch 231/234 done
2026-04-10 11:32:04 | INFO     | twitch_enrich |    game batch 232/234 done
2026-04-10 11:32:52 | INFO     | twitch_enrich |    game batch 233/234 done
2026-04-10 11:33:00 | INFO     | twitch_enrich |    game batch 234/234 done
2026-04-10 17:40:19 | INFO     | twitch_enrich | 📥 Loading output\twitch_full_panel_cleaned.csv in chunks of 5000
2026-04-10 17:40:19 | INFO     | twitch_enrich | ━━ chunk 1: rows=5000
2026-04-10 17:40:19 | WARNING  | twitch_enrich | TWITCH credentials missing; skipping created enrichment
2026-04-10 17:41:18 | INFO     | twitch_enrich | 📥 Loading output\twitch_full_panel_cleaned.csv in chunks of 5000
2026-04-10 17:41:18 | INFO     | twitch_enrich | ━━ chunk 1: rows=5000
2026-04-10 17:41:19 | INFO     | twitch_enrich | ✅ Twitch auth success
2026-04-10 17:42:24 | INFO     | twitch_enrich |    wrote chunk 1 (out_rows=5000)
2026-04-10 17:42:24 | INFO     | twitch_enrich | ━━ chunk 2: rows=5000
2026-04-10 17:43:30 | INFO     | twitch_enrich |    wrote chunk 2 (out_rows=10000)
2026-04-10 17:43:30 | INFO     | twitch_enrich | ━━ chunk 3: rows=5000
2026-04-10 17:44:41 | INFO     | twitch_enrich |    wrote chunk 3 (out_rows=15000)
2026-04-10 17:44:41 | INFO     | twitch_enrich | ━━ chunk 4: rows=5000
2026-04-10 17:45:45 | INFO     | twitch_enrich |    wrote chunk 4 (out_rows=20000)
2026-04-10 17:45:45 | INFO     | twitch_enrich | ━━ chunk 5: rows=5000
2026-04-10 17:46:48 | INFO     | twitch_enrich |    wrote chunk 5 (out_rows=25000)
2026-04-10 17:46:48 | INFO     | twitch_enrich | ━━ chunk 6: rows=5000
2026-04-10 17:47:53 | INFO     | twitch_enrich |    wrote chunk 6 (out_rows=30000)
2026-04-10 17:47:53 | INFO     | twitch_enrich | ━━ chunk 7: rows=5000
2026-04-10 17:48:56 | INFO     | twitch_enrich |    wrote chunk 7 (out_rows=35000)
2026-04-10 17:48:56 | INFO     | twitch_enrich | ━━ chunk 8: rows=5000
2026-04-10 17:49:58 | INFO     | twitch_enrich |    wrote chunk 8 (out_rows=40000)
2026-04-10 17:49:58 | INFO     | twitch_enrich | ━━ chunk 9: rows=5000
2026-04-10 17:51:00 | INFO     | twitch_enrich |    wrote chunk 9 (out_rows=45000)
2026-04-10 17:51:00 | INFO     | twitch_enrich | ━━ chunk 10: rows=5000
2026-04-10 17:52:02 | INFO     | twitch_enrich |    wrote chunk 10 (out_rows=50000)
2026-04-10 17:52:02 | INFO     | twitch_enrich | ━━ chunk 11: rows=5000
2026-04-10 17:53:00 | INFO     | twitch_enrich |    wrote chunk 11 (out_rows=55000)
2026-04-10 17:53:00 | INFO     | twitch_enrich | ━━ chunk 12: rows=5000
2026-04-10 17:54:03 | INFO     | twitch_enrich |    wrote chunk 12 (out_rows=60000)
2026-04-10 17:54:03 | INFO     | twitch_enrich | ━━ chunk 13: rows=5000
2026-04-10 17:55:03 | INFO     | twitch_enrich |    wrote chunk 13 (out_rows=65000)
2026-04-10 17:55:03 | INFO     | twitch_enrich | ━━ chunk 14: rows=5000
2026-04-10 17:56:02 | INFO     | twitch_enrich |    wrote chunk 14 (out_rows=70000)
2026-04-10 17:56:02 | INFO     | twitch_enrich | ━━ chunk 15: rows=5000
2026-04-10 17:57:06 | INFO     | twitch_enrich |    wrote chunk 15 (out_rows=75000)
2026-04-10 17:57:06 | INFO     | twitch_enrich | ━━ chunk 16: rows=5000
2026-04-10 17:58:05 | INFO     | twitch_enrich |    wrote chunk 16 (out_rows=80000)
2026-04-10 17:58:05 | INFO     | twitch_enrich | ━━ chunk 17: rows=5000
2026-04-10 17:59:01 | INFO     | twitch_enrich |    wrote chunk 17 (out_rows=85000)
2026-04-10 17:59:01 | INFO     | twitch_enrich | ━━ chunk 18: rows=5000
2026-04-10 18:00:04 | INFO     | twitch_enrich |    wrote chunk 18 (out_rows=90000)
2026-04-10 18:00:04 | INFO     | twitch_enrich | ━━ chunk 19: rows=5000
2026-04-10 18:01:05 | INFO     | twitch_enrich |    wrote chunk 19 (out_rows=95000)
2026-04-10 18:01:05 | INFO     | twitch_enrich | ━━ chunk 20: rows=5000
2026-04-10 18:02:03 | INFO     | twitch_enrich |    wrote chunk 20 (out_rows=100000)
2026-04-10 18:02:03 | INFO     | twitch_enrich | ━━ chunk 21: rows=5000
2026-04-10 18:02:53 | INFO     | twitch_enrich |    wrote chunk 21 (out_rows=105000)
2026-04-10 18:02:53 | INFO     | twitch_enrich | ━━ chunk 22: rows=5000
2026-04-10 18:03:27 | INFO     | twitch_enrich |    wrote chunk 22 (out_rows=110000)
2026-04-10 18:03:27 | INFO     | twitch_enrich | ━━ chunk 23: rows=5000
2026-04-10 18:03:49 | INFO     | twitch_enrich |    wrote chunk 23 (out_rows=115000)
2026-04-10 18:03:49 | INFO     | twitch_enrich | ━━ chunk 24: rows=1592
2026-04-10 18:03:51 | INFO     | twitch_enrich |    wrote chunk 24 (out_rows=116592)
2026-04-10 18:03:51 | INFO     | twitch_enrich | ✅ Enrichment complete: input_rows=116592 output_rows=116592 -> output\twitch_full_panel_enriched.csv
